"TIME","POSITION","R1","R2","CCR"
0.5,0,118.143,163.722,3755
0.501,0,118.143,163.722,3755
0.502,0,118.143,163.723,3755
0.503,0,118.144,163.723,3755
0.504,0,118.144,163.724,3755
0.505,0,118.144,163.724,3755
0.506,0,118.144,163.725,3755
0.507,0,118.144,163.725,3755
0.508,0,118.145,163.726,3755
0.509,0,118.145,163.726,3755
0.51,0,118.145,163.726,3755
0.511,0,118.145,163.725,3755
0.512,0,118.144,163.725,3755
0.513,0,118.144,163.724,3755
0.514,0,118.144,163.724,3755
0.515,0,118.144,163.724,3755
0.516,0,118.144,163.723,3755
0.517,0,118.144,163.723,3755
0.518,0,118.144,163.722,3755
0.519,0,118.144,163.722,3755
0.52,0,118.144,163.722,3755
0.521,0,118.144,163.722,3755
0.522,0,118.144,163.722,3755
0.523,0,118.144,163.722,3755
0.524,0,118.144,163.722,3755
0.525,0,118.144,163.722,3755
0.526,0,118.144,163.722,3755
0.527,0,118.144,163.723,3755
0.528,0,118.144,163.723,3755
0.529,0,118.144,163.723,3755
0.53,0,118.144,163.723,3755
0.531,0,118.145,163.723,3755
0.532,0,118.145,163.723,3755
0.533,0,118.146,163.723,3755
0.534,0,118.147,163.723,3755
0.535,0,118.147,163.723,3755
0.536,0,118.148,163.723,3755
0.537,0,118.148,163.723,3755
0.538,0,118.149,163.723,3755
0.539,0,118.15,163.723,3755
0.54,0,118.149,163.722,3755
0.541,0,118.149,163.722,3755
0.542,0,118.148,163.721,3755
0.543,0,118.148,163.721,3755
0.544,0,118.147,163.72,3755
0.545,0,118.147,163.719,3755
0.546,0,118.146,163.719,3755
0.547,0,118.146,163.718,3755
0.548,0,118.145,163.717,3755
0.549,0,118.145,163.717,3755
0.55,0,118.144,163.717,3755
0.551,0,118.144,163.716,3755
0.552,0,118.144,163.716,3755
0.553,0,118.144,163.716,3755
0.554,0,118.144,163.716,3755
0.555,0,118.144,163.716,3755
0.556,0,118.144,163.715,3755
0.557,0,118.143,163.715,3755
0.558,0,118.143,163.715,3755
0.559,0,118.143,163.715,3755
0.56,0,118.143,163.716,3755
0.561,0,118.144,163.717,3755
0.562,0,118.144,163.718,3755
0.563,0,118.144,163.719,3755
0.564,0,118.145,163.72,3755
0.565,0,118.145,163.72,3755
0.566,0,118.145,163.721,3755
0.567,0,118.146,163.722,3755
0.568,0,118.146,163.723,3755
0.569,0,118.147,163.724,3755
